Filtering the log data using "processImagePath BEGINSWITH "/Users/tyler.hackett/Library/Developer/CoreSimulator/Devices/F875505B-B6AE-445A-83C5-DDA0B4489670/data/Containers/Bundle/Application/07B1231A-66B9-4F07-9E09-5AA754E6538B/AvaxWallet.app""
Timestamp               Ty Process[PID:TID]
2023-01-13 11:14:01.532 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.532 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.532 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.532 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.532 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.532 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.533 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.533 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.533 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.535 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.535 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.535 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.536 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.536 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.536 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.537 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.537 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.537 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.538 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.538 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.539 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.539 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.539 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.539 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.540 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.540 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.540 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.541 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.541 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.541 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.541 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.541 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.542 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.542 Db AvaxWallet[51012:1d284c0] [com.apple.CFBundle:resources] Resource lookup at CFBundle 0x13b805580 </Users/tyler.hackett/Library/Developer/CoreSimulator/Devices/F875505B-B6AE-445A-83C5-DDA0B4489670/data/Containers/Bundle/Application/07B1231A-66B9-4F07-9E09-5AA754E6538B/AvaxWallet.app> (executable, loaded)
	Request       : RNSScreen type: nib
	Result        : None
